userName,review,at,score,app_name,stemming,skor_sentimen,label
Nekomaru Juunigatsu,ngga bisa login ulang,2025-08-29 14:02:54,1,BRImo,ngga bisa login ulang,1,positif
Wandhi Prasetyo,sangat membantu rakyat,2025-08-29 14:01:48,5,BRImo,sangat bantu rakyat,1,positif
DIAN Hardiansyah,bagus cepat praktis dan amanah,2025-08-29 13:58:59,5,BRImo,bagus cepat praktis dan amanah,4,positif
Juri Bastoro,aman,2025-08-29 13:55:47,4,BRImo,aman,1,positif
Tayl Stevanno,mempermudah semua transaksi saya,2025-08-29 13:47:01,5,BRImo,mudah semua transaksi saya,1,positif
bedy alamsyah,aplikasinya bagus dan simpel,2025-08-29 13:39:12,5,BRImo,aplikasi bagus dan simpel,1,positif
Romasi Ernawati Sianipar,kenapa sih harus update terus aplikasi nya toh juga sama aja. jadi apa apa harus lama belum lagi nanti ada kabar ATM 3 bulan gak di pakai akan dibekukan ini segala update jadi malas buat buka aplikasi nya,2025-08-29 13:36:23,1,BRImo,kenapa sih harus update terus aplikasi nya toh juga sama aja jadi apa apa harus lama belum lagi nanti ada kabar atm 3 bulan gak di pakai akan beku ini segala update jadi malas buat buka aplikasi nya,-1,negatif
Game Vpn,tambah menyusahkan semenjak adanya saldo tertahan,2025-08-29 13:35:04,1,BRImo,tambah susah semenjak ada saldo tahan,-1,negatif
Rustan,app BRI mo Bagus,2025-08-29 13:33:25,5,BRImo,app bri mo bagus,1,positif
Fransisco Tarsin,cukup bagus,2025-08-29 13:31:19,3,BRImo,cukup bagus,1,positif
Kosim,"apk d hpus mau login LG susah , buka link nya susah balik terus balik terus",2025-08-29 13:26:40,2,BRImo,apk d hpus mau login lg susah buka link nya susah balik terus balik terus,-1,negatif
Romy Prayoga,sangat membantu mempermudah sgala urusan maksih brimo,2025-08-29 13:18:23,5,BRImo,sangat bantu mudah sgala urus maksih brimo,2,positif
Dina aziza Futri nurdin,"gatau udaa berapa kali klo mau di update tuh gabisa, padahal jaringan okay, penyimpanan juga okay, play store nya juga sudah di update kok masii ga bisa??",2025-08-29 13:16:36,4,BRImo,gatau udaa berapa kali klo mau di update tuh gabisa padahal jaring okay simpan juga okay play store nya juga sudah di update kok masii ga bisa,2,positif
Paisal Febriyanto,apk ini sangat bagus,2025-08-29 13:13:29,5,BRImo,apk ini sangat bagus,1,positif
arga isa,bagus,2025-08-29 13:12:14,5,BRImo,bagus,1,positif
Indah Sari,kenapa ko setelah di update muncul kata kata *demi keamanan akun dst* jadi gak bisa dipakai buat transaksi .,2025-08-29 13:09:51,1,BRImo,kenapa ko telah di update muncul kata kata demi aman akun dst jadi gak bisa pakai buat transaksi,3,positif
I Made Sukedana,mudah aman simpel praktis,2025-08-29 13:07:41,5,BRImo,mudah aman simpel praktis,3,positif
Yusuf Maulana,terbaik dan sangat membantu,2025-08-29 13:00:24,5,BRImo,baik dan sangat bantu,2,positif
Misbah_120,memudahkan transaksi,2025-08-29 12:57:41,5,BRImo,mudah transaksi,1,positif
Bam Bang,pakai brimo lebih mudah segala urusan,2025-08-29 12:57:31,5,BRImo,pakai brimo lebih mudah segala urus,1,positif
Agustina Vivo,baik dan sangat membantu,2025-08-29 12:57:16,5,BRImo,baik dan sangat bantu,2,positif
Maxwell14,Semoga selalu bisa diandalkan.,2025-08-29 12:54:44,5,BRImo,moga selalu bisa andal,1,positif
Galau Loe,very simple...sangat membantu,2025-08-29 12:51:43,5,BRImo,very simple sangat bantu,2,positif
ai siti nurjanah sweety,"mau transaksi ga bisa,malah nyuruh update versi terbaru,klik update malah tertunda.ga maju2 ini ah",2025-08-29 12:48:04,1,BRImo,mau transaksi ga bisa malah nyuruh update versi baru klik update malah tunda ga maju2 ini ah,2,positif
Okta Viul,kok di suruh up lagi versi baru ya kenapa,2025-08-29 12:41:54,4,BRImo,kok di suruh up lagi versi baru ya kenapa,-1,negatif
Refta Nalle15,mantap,2025-08-29 12:40:33,5,BRImo,mantap,1,positif
faizal rizal,aplikasi lengkap segala pembayaran ada & mudah di gunakan,2025-08-29 12:37:12,5,BRImo,aplikasi lengkap segala bayar ada mudah di guna,2,positif
Serlinda Syifa,bagus,2025-08-29 12:35:40,5,BRImo,bagus,1,positif
Muh Asril580,"Sudah Update malah error,tidak bisa transaksi,noob.",2025-08-29 12:34:19,1,BRImo,sudah update malah error tidak bisa transaksi noob,1,positif
fabyola tisya ariel,"oke mantap, mudah aplikasinya",2025-08-29 12:31:39,5,BRImo,oke mantap mudah aplikasi,3,positif
Putri Desinta,setelah di update nih aplikasi smakin busuk.. gak bikin simple malah bikin ruwet,2025-08-29 12:27:25,1,BRImo,telah di update nih aplikasi smakin busuk gak bikin simple malah bikin ruwet,2,positif
Lia 97,mantapp,2025-08-29 12:27:14,5,BRImo,mantapp,1,positif
Ihza Defri,kenapa tidak bisa transaksi,2025-08-29 12:24:33,3,BRImo,kenapa tidak bisa transaksi,1,positif
Rani Wulandari,"Bru pertma pkai BRImo lancar,smga k dpnnya slalu amanah yaa.",2025-08-29 12:22:21,5,BRImo,bru pertma pkai brimo lancar smga k dpnnya slalu amanah yaa,2,positif
Andi Usnawan,sangat mudah,2025-08-29 12:22:04,5,BRImo,sangat mudah,1,positif
Raiban kadafi,terbaik,2025-08-29 12:15:34,5,BRImo,baik,1,positif
Endang Wahyuningsih,sangat mudah dan cepat untuk saya...dan mempermudah dalam pembayaran berbagai transaksi.... jadi nggak perlu repot-repot keluar rumah...,2025-08-29 12:14:59,5,BRImo,sangat mudah dan cepat untuk saya dan mudah dalam bayar bagai transaksi jadi nggak perlu repot keluar rumah,2,positif
Siro Saja,Aplikasinya sangat membantu dan simple digunakan..,2025-08-29 12:10:18,5,BRImo,aplikasi sangat bantu dan simple guna,3,positif
Andy Hardyani,sangat membantu,2025-08-29 12:09:54,5,BRImo,sangat bantu,1,positif
Sar Tono,sangat membantu,2025-08-29 12:09:45,5,BRImo,sangat bantu,1,positif
Rosdalima,"Sudah lama menggunakn aplikasi ini tapi skarang kok minta aplikasi d update tapi tdk bisa di update aplikasi brimo di play store hanya bisa instal, sementara aplikasi sdh d instal dan tdk bisa digunakan.",2025-08-29 12:06:26,4,BRImo,sudah lama menggunakn aplikasi ini tapi skarang kok minta aplikasi d update tapi tdk bisa di update aplikasi brimo di play store hanya bisa instal sementara aplikasi sdh d instal dan tdk bisa guna,2,positif
Santoso,apa ni setelah update ga suport ke hp aneh,2025-08-29 12:01:32,1,BRImo,apa ni telah update ga suport ke hp aneh,1,positif
Yulia Santika,sangat membantu,2025-08-29 12:01:13,5,BRImo,sangat bantu,1,positif
JUHASTI JUHAS,kenapa saya ngak bisa masukya padahal data saya udah lengkap,2025-08-29 11:58:22,2,BRImo,kenapa saya ngak bisa masukya padahal data saya udah lengkap,1,positif
Ari Suwendah,nyaman,2025-08-29 11:56:32,5,BRImo,nyaman,2,positif
Siti Rohayati,memudahkan segala transaksi,2025-08-29 11:52:34,5,BRImo,mudah segala transaksi,1,positif
Nizam Akbar,jadi lebih mudah,2025-08-29 11:52:09,5,BRImo,jadi lebih mudah,1,positif
Antonius Asai,untuk transaksi bisnis oke,2025-08-29 11:51:45,5,BRImo,untuk transaksi bisnis oke,1,positif
Renti Sumba,sangat bagus,2025-08-29 11:51:40,5,BRImo,sangat bagus,1,positif
Sripatmi Patmi,mantap sangat membantu..trimakasih Brimo,2025-08-29 11:49:55,5,BRImo,mantap sangat bantu trimakasih brimo,2,positif
Ivan Iswandi,sangat membantu 👍👍👍,2025-08-29 11:49:15,5,BRImo,sangat bantu,1,positif
Bagus Susilo,baik sekali,2025-08-29 11:48:41,3,BRImo,baik sekali,1,positif
Miracolection Mira,saya sangat puas,2025-08-29 11:47:57,2,BRImo,saya sangat puas,1,positif
Android Phone,sangat membantu,2025-08-29 11:47:42,5,BRImo,sangat bantu,1,positif
Abd Razaq,semoga selalu amanah,2025-08-29 11:45:07,5,BRImo,moga selalu amanah,1,positif
Mandor Amoenk,sekarang udah bisa aktivasi rekening dormant lewat brimo,2025-08-29 11:44:52,4,BRImo,sekarang udah bisa aktivasi rekening dormant lewat brimo,1,positif
Sandi Haryadi,sangat membantu,2025-08-29 11:43:25,5,BRImo,sangat bantu,1,positif
indra permana sunu,"setelah update malah gak bisa di pakai transfer padahal lagi butuh cepet, gimana nih solusinya? padahal gak ada buka aplikasi lain tapi disuruh nutup aplikasi lain aneh bangett!!!!",2025-08-29 11:43:25,1,BRImo,telah update malah gak bisa di pakai transfer padahal lagi butuh cepet gimana nih solusi padahal gak ada buka aplikasi lain tapi suruh nutup aplikasi lain aneh bangett,2,positif
Elferyda Nasution,setelah update gakbisa dibuka BRimo nya,2025-08-29 11:36:34,2,BRImo,telah update gakbisa buka brimo nya,2,positif
Hanifah salma,mantul. memudahkan transaksi,2025-08-29 11:30:12,5,BRImo,mantul mudah transaksi,2,positif
Duatiga Desember,aplikasi bagus sayang tidak ada pemberitahuan transferan masuk padahal settingan dihp udah dicek semua,2025-08-29 11:26:03,2,BRImo,aplikasi bagus sayang tidak ada pemberitahuan transfer masuk padahal settingan dihp udah cek semua,1,positif
nawastuti dati,mudah digunakan,2025-08-29 11:20:57,5,BRImo,mudah guna,2,positif
Ikhwanul Kakim,sangat membantu,2025-08-29 11:19:04,5,BRImo,sangat bantu,1,positif
Suwardi Ali,Mantap,2025-08-29 11:18:21,5,BRImo,mantap,1,positif
supredi supredi,oke,2025-08-29 11:13:02,5,BRImo,oke,1,positif
•Choco Chocolatee•,"pertama kali TF , cepat , lancar",2025-08-29 11:10:24,5,BRImo,pertama kali tf cepat lancar,2,positif
Dodi Kurniawan,mantap,2025-08-29 11:06:09,5,BRImo,mantap,1,positif
Indah Permatasari,qplikasi perbankan bagus menarik dan mudah digunakan. mantab .,2025-08-29 11:01:50,5,BRImo,qplikasi perban bagus tarik dan mudah guna mantab,3,positif
yadi suryadi,baik nyaman,2025-08-29 11:01:44,5,BRImo,baik nyaman,3,positif
marthawrstn,respon yang baik dan pelayanan yang baik diberikan,2025-08-29 10:57:11,5,BRImo,respon yang baik dan layan yang baik beri,1,positif
anggraeni Herlina wati,"aplikasi bagus, simple gampang di gunakan, apalagi bisa tarik tunai tanpa atm yang sangat memudahkan bagi orang yang sering lupa kartu atm. Brimo mantappp",2025-08-29 10:54:41,5,BRImo,aplikasi bagus simple gampang di guna apalagi bisa tarik tunai tanpa atm yang sangat mudah bagi orang yang sering lupa kartu atm brimo mantappp,6,positif
Yayuk JOG,Suka pakai BRImo karena fiturnya simple dan bnyk nge-link dgn yg lainnya sehingga memudahkan kita utk bertransaksi 👍👍,2025-08-29 10:53:31,5,BRImo,suka pakai brimo karena fiturnya simple dan bnyk nge-link dgn yg lain sehingga mudah kita utk transaksi,3,positif
Wiwit Rahma,"membantu, mempermudah dalam transaksi uang",2025-08-29 10:53:18,5,BRImo,bantu mudah dalam transaksi uang,2,positif
Zainatul Ariniya,baikkk,2025-08-29 10:52:09,5,BRImo,baikkk,1,positif
Febiola Hernaningrum,"bagus, efektif, dan mempermudah",2025-08-29 10:51:40,5,BRImo,bagus efektif dan mudah,2,positif
Ameriyan Saputra,sangat memudahkan kan untuk bertransaksi,2025-08-29 10:46:39,5,BRImo,sangat mudah kan untuk transaksi,1,positif
Alumrah Makatita,mantap,2025-08-29 10:43:21,5,BRImo,mantap,1,positif
Nur Amanah,banyak kegunaannya mempermudah segalanya,2025-08-29 10:42:08,5,BRImo,banyak guna mudah segala,2,positif
Annisa Pramono,"Ampuuun, habis diupdate malah lelet, sering bug.",2025-08-29 10:36:01,1,BRImo,ampuuun habis diupdate malah lelet sering bug,-1,negatif
Putra Kedua,mantap,2025-08-29 10:32:45,5,BRImo,mantap,1,positif
Nafil Nafil,"brimo Yang lama terhapus, kemudian instal yg baru,begitu masuk katanya. ada kode yg dikirim ke no telepon,tp GK ada,di email pun GK ada,jadi bagaimana caranya ini?",2025-08-29 10:31:10,2,BRImo,brimo yang lama hapus kemudian instal yg baru begitu masuk kata ada kode yg kirim ke no telepon tp gk ada di email pun gk ada jadi bagaimana cara ini,-1,negatif
Novilia Ramadhani,mudah Pakenya,2025-08-29 10:29:15,5,BRImo,mudah pakenya,1,positif
Gusty nur43,"Aplikasinya sangat luar biasa, dan muda untuk transaksi cepat,,,",2025-08-29 10:28:59,5,BRImo,aplikasi sangat luar biasa dan muda untuk transaksi cepat,1,positif
Sahrul Gunawan,setelah upgrade gabisa top up dana mohon ini gimna,2025-08-29 10:28:33,5,BRImo,telah upgrade gabisa top up dana mohon ini gimna,2,positif
Safitri Saibulan,bagus,2025-08-29 10:27:06,5,BRImo,bagus,1,positif
Luhut Siagian,baru pertama buka dan download aplikasi.. mudah sekali dan lansung bisa digunakan,2025-08-29 10:26:19,5,BRImo,baru pertama buka dan download aplikasi mudah sekali dan lansung bisa guna,3,positif
Siti Chasanah,sangat membantu saya dalam bertransaksi secara online,2025-08-29 10:25:40,5,BRImo,sangat bantu saya dalam transaksi cara online,1,positif
wahyudi zm,pas buka aplikasinya lemot dan lama banget. teruntuk belum bisa buka menu hanya mentok bri disitu saja terus dan slow respon padahal sinyal bagus dan lancar,2025-08-29 10:24:08,1,BRImo,pas buka aplikasi lot dan lama banget untuk belum bisa buka menu hanya mentok bri situ saja terus dan slow respon padahal sinyal bagus dan lancar,2,positif
Armand Jeje,simple aman dan praktis bisa beli Kouta/pls pokonya mantul dah 👍👍👍,2025-08-29 10:23:48,5,BRImo,simple aman dan praktis bisa beli kouta pls poko mantul dah,5,positif
Frontall Gm,setelah updete apk nya jadi eror kadang tidak merespon apk nya jika ingin login tertulis brimo tidak menanggapi tolong di perbaiki lagi sperti brimo yg sebelom updete lebih bagus cepat konek,2025-08-29 10:22:10,3,BRImo,telah updete apk nya jadi eror kadang tidak merespon apk nya jika ingin login tulis brimo tidak tanggap tolong di baik lagi sperti brimo yg bom updete lebih bagus cepat konek,1,positif
M M,Kalau mau update otomatis aja pindah halaman ke ps,2025-08-29 10:21:48,3,BRImo,kalau mau update otomatis aja pindah halaman ke ps,1,positif
Ayu Dwipayana,kok jadi parah setelah di update malah g bisa masuk aplikasi,2025-08-29 10:21:07,1,BRImo,kok jadi parah telah di update malah g bisa masuk aplikasi,1,positif
Irul Geonk,sangat aman dan cepat buat transaksi,2025-08-29 10:17:58,5,BRImo,sangat aman dan cepat buat transaksi,2,positif
Suparwi,sangat membantu pembelian pulsa pln dll,2025-08-29 10:13:17,5,BRImo,sangat bantu beli pulsa pln dll,1,positif
Anggi Agustian,mantap banget,2025-08-29 10:11:07,4,BRImo,mantap banget,1,positif
Mhmd. Thoriq27,bagus,2025-08-29 10:09:15,5,BRImo,bagus,1,positif
Paulino Puling,apknya bagus,2025-08-29 10:02:48,5,BRImo,apknya bagus,1,positif
Ghono silva,"kenapa aplikasi brimo saya tidak bisa buat transfer, apakah ada solusi?",2025-08-29 09:58:15,3,BRImo,kenapa aplikasi brimo saya tidak bisa buat transfer apakah ada solusi,2,positif
faesha mukti,"setelah di update tidak bisa untuk transfer, selalu muncul menutup aplikasi lain",2025-08-29 09:58:02,1,BRImo,telah di update tidak bisa untuk transfer selalu muncul tutup aplikasi lain,2,positif
Vera Rindi,"Suka nge lag, minta update melulu [sebel poll]",2025-08-29 09:56:42,3,BRImo,suka nge lag minta update melulu sebel poll,1,positif
arif rianto,mantap mudah simpel g ribet,2025-08-29 09:56:42,5,BRImo,mantap mudah simpel g ribet,1,positif
Gio Vano,update terusss terusan!!!,2025-08-29 09:55:56,1,BRImo,update terusss terus,1,positif
Nelcis Wahon,mantap,2025-08-29 09:46:59,5,BRImo,mantap,1,positif
Hartamina Gea,"sangat memudahkan saya fiturnya juga lengkap, pokoknya terbaik apk ini",2025-08-29 09:45:41,5,BRImo,sangat mudah saya fiturnya juga lengkap pokok baik apk ini,2,positif
DJUNI MARHENI,sangat praktis dan mudah,2025-08-29 09:45:02,5,BRImo,sangat praktis dan mudah,2,positif
Haikal 123,knp gk bisa di buka ya,2025-08-29 09:41:51,5,BRImo,knp gk bisa di buka ya,1,positif
Pak Nano,sangat bagus,2025-08-29 09:41:35,5,BRImo,sangat bagus,1,positif
Aji Silvan,kenapa setela di update justru tidak bisa di buka aplikasi brimob. mohon petunjuk admin,2025-08-29 09:39:57,4,BRImo,kenapa setela di update justru tidak bisa di buka aplikasi brimob mohon tunjuk admin,2,positif
Rochaeni Neni,memudahkan segalanya aja,2025-08-29 09:39:52,5,BRImo,mudah segala aja,1,positif
Riska Khairinnisa1025,"ini kenapa sih eror terus BRI sebel banget, tiba tiba sering brimo tidak menanggapi, dbug apalah skrng juga ga bisa di buka nonaktifkan mode dbug padahal ga di aktifkan mode dbug nya aneh",2025-08-29 09:38:33,1,BRImo,ini kenapa sih eror terus bri sebel banget tiba tiba sering brimo tidak tanggap dbug apa skrng juga ga bisa di buka nonaktif mode dbug padahal ga di aktif mode dbug nya aneh,-1,negatif
Ishak Arusigi,"sangat baik,sangat membantu",2025-08-29 09:37:31,5,BRImo,sangat baik sangat bantu,2,positif
Iwan Satriawan,"simple, cepat dan aman",2025-08-29 09:32:21,5,BRImo,simple cepat dan aman,3,positif
Patkun sokeh,aplikasi mudah dalam penggunaan fitur fitur layanan lengkap,2025-08-29 09:29:18,5,BRImo,aplikasi mudah dalam guna fitur fitur layan lengkap,2,positif
Fachrizal Aldamara,"Semenjak update harus menutup aplikasi lain jadi ribet, ribet banget lah pokoknya jadi ga pengen pake BRI lagi",2025-08-29 09:27:26,1,BRImo,semenjak update harus tutup aplikasi lain jadi ribet ribet banget lah pokok jadi ga ken pake bri lagi,-1,negatif
Syafriantoanto3 Anto,Mantap,2025-08-29 09:26:30,5,BRImo,mantap,1,positif
Rahma Yana siregar,saya mau bertransaksi lewat brimo pas saya buka apps brimo langsung muncul dilayar aplikasi terinfeksi telah terdeteksi hapus intalansi sekarang.lalu ada dua pilihan hapus atau keluar dari applikasi begitu lah jadi saya hapus applikasi lalu saya download lagi eh saya buka lagi app brimo yg saya download itu tetap aja sama seperti yg awal.,2025-08-29 09:24:38,2,BRImo,saya mau transaksi lewat brimo pas saya buka apps brimo langsung muncul layar aplikasi infeksi telah deteksi hapus intalansi sekarang lalu ada dua pilih hapus atau keluar dari applikasi begitu lah jadi saya hapus applikasi lalu saya download lagi eh saya buka lagi app brimo yg saya download itu tetap aja sama seperti yg awal,-1,negatif
Amira Rani,Aplikasinya sangat bagus' tampilanya keren transaksi juga sangat mudah.,2025-08-29 09:23:09,5,BRImo,aplikasi sangat bagus tampilanya keren transaksi juga sangat mudah,3,positif
Salman Faruk,percepat di perbaiki!,2025-08-29 09:15:13,1,BRImo,cepat di baik,2,positif
Mustajib Maulana Wafdullah,Sangat terbantu,2025-08-29 08:58:08,5,BRImo,sangat bantu,1,positif
Denda Dipurniawan,bagus,2025-08-29 08:56:29,5,BRImo,bagus,1,positif
Ervin Oktavian,keren lah pokonya untuk kebutuhan sehari hari transaksi mah tapi potongn pajaknya doang kadang suka ngaur dan kegedean,2025-08-29 08:55:26,5,BRImo,keren lah poko untuk butuh hari hari transaksi mah tapi potongn pajak doang kadang suka ngaur dan gede,2,positif
BIG STONE,simple,2025-08-29 08:54:26,5,BRImo,simple,1,positif
Anton Lefu Lefu,semua lebih mudah dari brimo,2025-08-29 08:53:21,5,BRImo,semua lebih mudah dari brimo,1,positif
Giat Pambudi,"ini aplikasi kalo transaksi gagal duitnya nggak balik, wkwkwk. Terus ujung ujungnya suruh chat di WA sama bot",2025-08-29 08:50:20,1,BRImo,ini aplikasi kalo transaksi gagal duit nggak balik wkwkwk terus ujung ujung suruh chat di wa sama bot,-1,negatif
Nuraini nuraini,Sangat ok..recommended,2025-08-29 08:46:04,5,BRImo,sangat ok recommended,1,positif
Owen Suma85,sangat baik dan bermanfaat,2025-08-29 08:40:22,5,BRImo,sangat baik dan manfaat,1,positif
Resky Aditya,Kenapa ini saldonya berkurang terus apk tidak ramah bintang 1,2025-08-29 08:39:54,1,BRImo,kenapa ini saldo kurang terus apk tidak ramah bintang 1,1,positif
"Ridwan Hafidh, Muhammad",diupdate malah tak bisa transaksi,2025-08-29 08:39:03,1,BRImo,diupdate malah tak bisa transaksi,2,positif
ayuningsi nitbani,terbaik dan sangat membantu,2025-08-29 08:37:35,5,BRImo,baik dan sangat bantu,2,positif
Pengguna Google,membantu,2025-08-29 08:32:52,5,BRImo,bantu,1,positif
Juni Saputra,BRImo sangat bagus dan baik.. 👍👍👍,2025-08-29 08:30:55,5,BRImo,brimo sangat bagus dan baik,2,positif
Puguh Windarto,pakai brimo bisa belanja sambil rebahan.,2025-08-29 08:27:25,5,BRImo,pakai brimo bisa belanja sambil rebah,1,positif
Ragil Sasongko,"akses mudah, dan memudahkan",2025-08-29 08:26:20,5,BRImo,akses mudah dan mudah,1,positif
Sholichin Sukadi,akun udah jadi tapi ga bisa login tolong di perbaiki,2025-08-29 08:24:35,1,BRImo,akun udah jadi tapi ga bisa login tolong di baik,2,positif
Regie Samoedra,baik,2025-08-29 08:19:03,5,BRImo,baik,1,positif
agus junaedi,Kenapa M.banking saya g bisa di cek,2025-08-29 08:16:38,5,BRImo,kenapa m banking saya g bisa di cek,1,positif
Iman Alamsyah,mantap,2025-08-29 08:15:13,5,BRImo,mantap,1,positif
Viqi Rahmah Fadillah,"selama 4 bln ini baguss” ajaa, cuman kenapa pas mau habis bulan Agustus 3 hari ini malah ga bisa digunain buat tf sesama BRI serta top up e wallet aja ga bisaa, tolong kak perbaikannya🙏🏼🙏🏼🙏🏼🙂",2025-08-29 08:12:48,5,BRImo,lama 4 bln ini baguss ajaa cuman kenapa pas mau habis bulan agustus 3 hari ini malah ga bisa digunain buat tf sama bri serta top up e wallet aja ga bisaa tolong kak baik,4,positif
Firmans,"setelah upgrade malah jadi super lemot, ngebug mulu, susah buat transaksi, muncul notif not responding terus, aneh.",2025-08-29 08:10:11,5,BRImo,telah upgrade malah jadi super lot ngebug mulu susah buat transaksi muncul notif not responding terus aneh,-2,negatif
Kang Pethal,okey baik,2025-08-29 08:09:18,5,BRImo,okey baik,2,positif
Fauzan El Rahman,proses cepat,2025-08-29 08:03:17,5,BRImo,proses cepat,1,positif
adhy mks,payah tidak bisa ganti nomer hp padahal saya lagi di luar negri,2025-08-29 08:01:42,1,BRImo,payah tidak bisa ganti nomer hp padahal saya lagi di luar negri,-1,negatif
Sugito Pranoto,aplikasinya sangat membantu untuk transaksi transfer dll ketika jauh dari atm atau bank.,2025-08-29 08:00:57,5,BRImo,aplikasi sangat bantu untuk transaksi transfer dll ketika jauh dari atm atau bank,1,positif
Yuliani Spt,aplikasi ini sangat membantu mudah dan simpel,2025-08-29 07:54:44,5,BRImo,aplikasi ini sangat bantu mudah dan simpel,2,positif
Yulia Larasati,lebih memudahkan,2025-08-29 07:52:32,5,BRImo,lebih mudah,1,positif
Gita Kartika,"kenapa ya saya tidak bisa TF tulisannya "" aplikasi berbahaya"" padahal bola pintas nya sudah saya atur tidak muncul. tolong dong solusinya",2025-08-29 07:51:59,1,BRImo,kenapa ya saya tidak bisa tf tulis aplikasi bahaya padahal bola pintas nya sudah saya atur tidak muncul tolong dong solusi,2,positif
Lomo Pardamean Paulus Siregar,bagus,2025-08-29 07:51:37,5,BRImo,bagus,1,positif
Anita Diana,brimo keren,2025-08-29 07:46:09,5,BRImo,brimo keren,1,positif
Jajov Jovan,pemakaian mudah,2025-08-29 07:45:36,5,BRImo,pakai mudah,1,positif
Dalifah Yunus,bagus,2025-08-29 07:41:53,5,BRImo,bagus,1,positif
Ariqul Anam mauludi,keren,2025-08-29 07:38:49,5,BRImo,keren,1,positif
Ullah Salmu,mantap,2025-08-29 07:33:03,5,BRImo,mantap,1,positif
Erlita Minggu,aman di gunakan . dimanapun bisa bertransaksi,2025-08-29 07:31:02,3,BRImo,aman di guna mana bisa transaksi,3,positif
Iwan Irawan,sangatt puasssss,2025-08-29 07:29:11,5,BRImo,sangatt puasssss,1,positif
Eko Siswoyo,Mantap tidak bertele tele..Pokoknya 👍,2025-08-29 07:27:54,5,BRImo,mantap tidak tele tele pokok,1,positif
Agung Setiawan,oke,2025-08-29 07:21:13,5,BRImo,oke,1,positif
Nabhan Arfa adinata,trimaksih brimo sangat membantu transaksi..,2025-08-29 07:20:33,5,BRImo,trimaksih brimo sangat bantu transaksi,1,positif
Moessaes Priyambono,mudah,2025-08-29 07:10:32,4,BRImo,mudah,1,positif
Dwi Riswanti,"memudahkan pengguna baru, thnks",2025-08-29 07:10:13,4,BRImo,mudah guna baru thnks,2,positif
Sadar Uddin,Tingkat lagi pelayanan,2025-08-29 07:08:57,4,BRImo,tingkat lagi layan,-1,negatif
Yermika Patintingan,sangat memudahkan,2025-08-29 07:04:08,5,BRImo,sangat mudah,1,positif
Tutik Setia rini,memberi kemudahan d manapun tempatnya,2025-08-29 07:02:08,3,BRImo,beri mudah d mana tempat,1,positif
Ahmad Himawan,sangat mudah di gunakan,2025-08-29 06:56:10,4,BRImo,sangat mudah di guna,2,positif
Fitri Fahira,oke bagus,2025-08-29 06:48:14,5,BRImo,oke bagus,2,positif
INengah Rana,lebih baik dan lebih praktis.,2025-08-29 06:41:41,5,BRImo,lebih baik dan lebih praktis,2,positif
MACAN terakhir23,mudah faham,2025-08-29 06:40:29,5,BRImo,mudah faham,1,positif
Rafasya Arfathan,sangat baik,2025-08-29 06:40:26,5,BRImo,sangat baik,1,positif
Kresna Studios,bagus,2025-08-29 06:35:43,5,BRImo,bagus,1,positif
Kris Purwoko,"Mantabs, diskripsinya, lengkap, simpel, jelas, prosesnya juga cepat.",2025-08-29 06:33:44,5,BRImo,mantabs skripsi lengkap simpel jelas proses juga cepat,1,positif
Romi Saputra,amanah,2025-08-29 06:32:27,5,BRImo,amanah,1,positif
liza arsanti,gak bisa buat rekening,2025-08-29 06:32:25,3,BRImo,gak bisa buat rekening,1,positif
Tecnos Sparkkskwj,mantap,2025-08-29 06:30:11,5,BRImo,mantap,1,positif
Memo Hardika,"setelah update versi sekarang malah ribet masa top up ewalet harus nutup aplikasi yg lain aplikasi lain ditutup masih tetap tidak bisa transaksi, enak versi sebelumny",2025-08-29 06:28:08,3,BRImo,telah update versi sekarang malah ribet masa top up ewalet harus nutup aplikasi yg lain aplikasi lain tutup masih tetap tidak bisa transaksi enak versi sebelumny,2,positif
Lala Kusdian,kenapa habis update aplikasi malah buat TF gak bisa temenku juga gitu udah ke bank katanya mslh dgn aplikasi lain udah ke konter juga gak ada solusi gmn ini BRI ???,2025-08-29 06:25:09,1,BRImo,kenapa habis update aplikasi malah buat tf gak bisa temenku juga gitu udah ke bank kata mslh dgn aplikasi lain udah ke konter juga gak ada solusi gmn ini bri,3,positif
Irvan Bt,"aplikasi anj bikin repot. gk bisa tranfer, bukannya bikin mudah malah bikin susa anj. mau top up ini itu gk bisa. tiap mau lakukan transaksi diarahkan tutup aplikasi lain. gk tau maksudnya gimana anjjjj, gk jelasssss",2025-08-29 06:17:24,1,BRImo,aplikasi anj bikin repot gk bisa tranfer bukan bikin mudah malah bikin susa anj mau top up ini itu gk bisa tiap mau laku transaksi arah tutup aplikasi lain gk tau maksud gimana anjjjj gk jelasssss,3,positif
Ramdani Ramdani,aplikasi sangat membantu terimakasih,2025-08-29 06:15:31,5,BRImo,aplikasi sangat bantu terimakasih,1,positif
sar tika,bagus,2025-08-29 06:15:16,5,BRImo,bagus,1,positif
Zahra Mikayla,kenapa mau buka m. banking nya terlalu berbelit belit. kalau bisa dipermudah maka jangan malahan dipersulit.,2025-08-29 06:13:42,1,BRImo,kenapa mau buka m banking nya terlalu belit belit kalau bisa mudah maka jangan malah sulit,1,positif
